Date of Encashment,Name of the Political Party,Denomination,count
2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,1000000,30
2019-04-12,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,10000000,3
2019-04-12,BHARAT RASHTRA SAMITHI,1000000,5
2019-04-12,BHARAT RASHTRA SAMITHI,10000000,22
2019-04-12,BHARTIYA JANTA PARTY,100000,30
2019-04-12,BHARTIYA JANTA PARTY,1000000,140
2019-04-12,BHARTIYA JANTA PARTY,10000000,232
2019-04-12,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",1000000,11
2019-04-12,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000,9
2019-04-12,SHIVSENA (POLITICAL PARTY),1000000,17
2019-04-12,SHIVSENA (POLITICAL PARTY),10000000,2
2019-04-12,TELUGU DESAM PARTY,1000000,3
2019-04-12,YSR CONGRESS PARTY (YUVAJANA SRAMIKA R,100000,5
2019-04-12,YSR CONGRESS PARTY (YUVAJANA SRAMIKA R,1000000,2
2019-04-12,YSR CONGRESS PARTY (YUVAJANA SRAMIKA R,10000000,6
2019-04-15,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM,100000,5
2019-04-15,BHARTIYA JANTA PARTY,100000,5
2019-04-15,BHARTIYA JANTA PARTY,1000000,70
2019-04-15,BHARTIYA JANTA PARTY,10000000,43
2019-04-15,DMK PARTY IN PARLIAMENT,10000000,7
2019-04-15,JANATA DAL ( SECULAR ),1000000,25
2019-04-15,NATIONALIST CONGRESS PARTY PARLIAMENT OF,1000000,15
2019-04-15,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",100000,5
2019-04-15,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",1000000,24
2019-04-15,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000,33
2019-04-15,SHIVSENA (POLITICAL PARTY),1000000,10
2019-04-15,SHIVSENA (POLITICAL PARTY),10000000,1
2019-04-15,TELUGU DESAM PARTY,10000000,5
2019-04-16,ALL INDIA TRINAMOOL CONGRESS,100000,1
2019-04-16,ALL INDIA TRINAMOOL CONGRESS,1000000,20
2019-04-16,ALL INDIA TRINAMOOL CONGRESS,10000000,15
2019-04-16,BHARTIYA JANTA PARTY,100000,50
2019-04-16,BHARTIYA JANTA PARTY,1000000,107
2019-04-16,BHARTIYA JANTA PARTY,10000000,105
2019-04-16,BIHAR PRADESH JANTA DAL(UNITED),10000000,2
2019-04-16,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",100000,32
2019-04-16,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",1000000,36
2019-04-16,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000,14
2019-04-16,RASTRIYA JANTA DAL,1000000,10
2019-04-18,AAM AADMI PARTY,1000000,2
2019-04-18,ADYAKSHA SAMAJVADI PARTY,100000,24
2019-04-18,ADYAKSHA SAMAJVADI PARTY,1000000,6
2019-04-18,BHARAT RASHTRA SAMITHI,10000000,1
2019-04-18,BHARTIYA JANTA PARTY,100000,78
2019-04-18,BHARTIYA JANTA PARTY,1000000,108
2019-04-18,BHARTIYA JANTA PARTY,10000000,216
2019-04-18,NATIONALIST CONGRESS PARTY PARLIAMENT OF,1000000,10
2019-04-18,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",100000,87
2019-04-18,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",1000000,20
2019-04-18,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000,10
2019-04-18,SHIVSENA (POLITICAL PARTY),1000000,12
2019-04-18,TELUGU DESAM PARTY,1000000,10
2019-04-18,TELUGU DESAM PARTY,10000000,1
2019-04-18,YSR CONGRESS PARTY (YUVAJANA SRAMIKA R,1000000,10
2019-04-18,YSR CONGRESS PARTY (YUVAJANA SRAMIKA R,10000000,1
2019-04-20,BHARTIYA JANTA PARTY,100000,45
2019-04-20,BHARTIYA JANTA PARTY,1000000,183
2019-04-20,BHARTIYA JANTA PARTY,10000000,192
2019-04-20,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000,1
2019-04-20,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",100000,22
2019-04-20,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",1000000,20
2019-04-20,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000,12
2019-04-20,SHIROMANI AKALI DAL,10000,7
2019-04-20,SHIROMANI AKALI DAL,10000000,6
2019-04-20,SHIVSENA (POLITICAL PARTY),10000000,5
2019-04-22,ALL INDIA TRINAMOOL CONGRESS,100000,15
2019-04-22,ALL INDIA TRINAMOOL CONGRESS,1000000,6
2019-04-22,BHARAT RASHTRA SAMITHI,100000,5
2019-04-22,BHARTIYA JANTA PARTY,1000,1
2019-04-22,BHARTIYA JANTA PARTY,100000,8
2019-04-22,BHARTIYA JANTA PARTY,1000000,31
2019-04-22,BHARTIYA JANTA PARTY,10000000,41
2019-04-22,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000,11
2019-04-22,SHIROMANI AKALI DAL,10000,3
2019-04-22,SHIROMANI AKALI DAL,100000,5
2019-04-22,SHIROMANI AKALI DAL,1000000,2
2019-04-22,SHIVSENA (POLITICAL PARTY),100000,5
2019-04-22,SHIVSENA (POLITICAL PARTY),1000000,2
2019-04-23,BHARTIYA JANTA PARTY,100000,65
2019-04-23,BHARTIYA JANTA PARTY,1000000,132
2019-04-23,BHARTIYA JANTA PARTY,10000000,117
2019-04-23,DMK PARTY IN PARLIAMENT,10000000,2
2019-04-23,JHARKHAND MUKTI MORCHA,1000000,10
2019-04-23,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",1000000,5
2019-04-23,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",10000000,7
