Sr No._x,Date of Encashment,Name of the Political Party,Account no. of Political Party,Prefix,Bond Number,Denominations_x,Pay Branch Code,Pay Teller,Prefix_BondNumber_x,Sr No._y,Reference No  (URN),Journal Date,Date of Purchase,Date of Expiry,Name of the Purchaser,Denominations_y,Issue Branch Code,Issue Teller,Status,Prefix_BondNumber_y
862,2019-04-16,BHARATIYA JANATA PARTY,*******8244,OC,5485,10000000,691,4567455,OC_5485,118,00847201904120000001164,2019-04-12,2019-04-12,2019-04-26,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000,847,8424020,Paid,OC_5485
863,2019-04-16,BHARATIYA JANATA PARTY,*******8244,OC,5465,10000000,691,4567455,OC_5465,119,00847201904120000001164,2019-04-12,2019-04-12,2019-04-26,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000,847,8424020,Paid,OC_5465
864,2019-04-16,BHARATIYA JANATA PARTY,*******8244,OC,5497,10000000,691,4567455,OC_5497,120,00847201904120000001164,2019-04-12,2019-04-12,2019-04-26,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000,847,8424020,Paid,OC_5497
865,2019-04-16,BHARATIYA JANATA PARTY,*******8244,OC,5510,10000000,691,4567455,OC_5510,121,00847201904120000001164,2019-04-12,2019-04-12,2019-04-26,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000,847,8424020,Paid,OC_5510
866,2019-04-16,BHARATIYA JANATA PARTY,*******8244,OC,5484,10000000,691,4567455,OC_5484,122,00847201904120000001164,2019-04-12,2019-04-12,2019-04-26,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000,847,8424020,Paid,OC_5484
867,2019-04-16,BHARATIYA JANATA PARTY,*******8244,OC,5490,10000000,691,4567455,OC_5490,124,00847201904120000001164,2019-04-12,2019-04-12,2019-04-26,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000,847,8424020,Paid,OC_5490
868,2019-04-16,BHARATIYA JANATA PARTY,*******8244,OC,5496,10000000,691,4567455,OC_5496,125,00847201904120000001164,2019-04-12,2019-04-12,2019-04-26,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000,847,8424020,Paid,OC_5496
869,2019-04-16,BHARATIYA JANATA PARTY,*******8244,OC,5456,10000000,691,4567455,OC_5456,126,00847201904120000001164,2019-04-12,2019-04-12,2019-04-26,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000,847,8424020,Paid,OC_5456
870,2019-04-16,BHARATIYA JANATA PARTY,*******8244,OC,5469,10000000,691,4567455,OC_5469,127,00847201904120000001164,2019-04-12,2019-04-12,2019-04-26,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000,847,8424020,Paid,OC_5469
871,2019-04-16,BHARATIYA JANATA PARTY,*******8244,OC,5495,10000000,691,4567455,OC_5495,128,00847201904120000001164,2019-04-12,2019-04-12,2019-04-26,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000,847,8424020,Paid,OC_5495
872,2019-04-16,BHARATIYA JANATA PARTY,*******8244,OC,5503,10000000,691,4567455,OC_5503,129,00847201904120000001164,2019-04-12,2019-04-12,2019-04-26,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000,847,8424020,Paid,OC_5503
873,2019-04-16,BHARATIYA JANATA PARTY,*******8244,OC,5486,10000000,691,4567455,OC_5486,130,00847201904120000001164,2019-04-12,2019-04-12,2019-04-26,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000,847,8424020,Paid,OC_5486
874,2019-04-16,BHARATIYA JANATA PARTY,*******8244,OC,5482,10000000,691,4567455,OC_5482,131,00847201904120000001164,2019-04-12,2019-04-12,2019-04-26,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000,847,8424020,Paid,OC_5482
875,2019-04-16,BHARATIYA JANATA PARTY,*******8244,OC,5502,10000000,691,4567455,OC_5502,132,00847201904120000001164,2019-04-12,2019-04-12,2019-04-26,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000,847,8424020,Paid,OC_5502
876,2019-04-16,BHARATIYA JANATA PARTY,*******8244,OC,5500,10000000,691,4567455,OC_5500,133,00847201904120000001164,2019-04-12,2019-04-12,2019-04-26,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000,847,8424020,Paid,OC_5500
877,2019-04-16,BHARATIYA JANATA PARTY,*******8244,OC,5483,10000000,691,4567455,OC_5483,134,00847201904120000001164,2019-04-12,2019-04-12,2019-04-26,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000,847,8424020,Paid,OC_5483
878,2019-04-16,BHARATIYA JANATA PARTY,*******8244,OC,5479,10000000,691,4567455,OC_5479,135,00847201904120000001164,2019-04-12,2019-04-12,2019-04-26,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000,847,8424020,Paid,OC_5479
879,2019-04-16,BHARATIYA JANATA PARTY,*******8244,OC,5473,10000000,691,4567455,OC_5473,136,00847201904120000001164,2019-04-12,2019-04-12,2019-04-26,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000,847,8424020,Paid,OC_5473
880,2019-04-16,BHARATIYA JANATA PARTY,*******8244,OC,5518,10000000,691,4567455,OC_5518,137,00847201904120000001164,2019-04-12,2019-04-12,2019-04-26,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000,847,8424020,Paid,OC_5518
881,2019-04-16,BHARATIYA JANATA PARTY,*******8244,OC,5476,10000000,691,4567455,OC_5476,138,00847201904120000001164,2019-04-12,2019-04-12,2019-04-26,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000,847,8424020,Paid,OC_5476
882,2019-04-16,BHARATIYA JANATA PARTY,*******8244,OC,5501,10000000,691,4567455,OC_5501,139,00847201904120000001164,2019-04-12,2019-04-12,2019-04-26,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000,847,8424020,Paid,OC_5501
883,2019-04-16,BHARATIYA JANATA PARTY,*******8244,OC,5489,10000000,691,4567455,OC_5489,140,00847201904120000001164,2019-04-12,2019-04-12,2019-04-26,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000,847,8424020,Paid,OC_5489
884,2019-04-16,BHARATIYA JANATA PARTY,*******8244,OC,5487,10000000,691,4567455,OC_5487,141,00847201904120000001164,2019-04-12,2019-04-12,2019-04-26,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000,847,8424020,Paid,OC_5487
885,2019-04-16,BHARATIYA JANATA PARTY,*******8244,OC,5499,10000000,691,4567455,OC_5499,142,00847201904120000001164,2019-04-12,2019-04-12,2019-04-26,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000,847,8424020,Paid,OC_5499
886,2019-04-16,BHARATIYA JANATA PARTY,*******8244,OC,5452,10000000,691,4567455,OC_5452,143,00847201904120000001164,2019-04-12,2019-04-12,2019-04-26,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000,847,8424020,Paid,OC_5452
887,2019-04-16,BHARATIYA JANATA PARTY,*******8244,OC,5480,10000000,691,4567455,OC_5480,144,00847201904120000001164,2019-04-12,2019-04-12,2019-04-26,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,10000000,847,8424020,Paid,OC_5480
